id,{,},CreaVentana,(,",",num,),;,CreaLabel,CreaBoton,CreaTextbox,CreaEvento,Main,if,else,repeat,until,:=,while,switch,case,break,default,for,=,:,CierraVentana,LeeTextBox,Loop,ImprimeTextBox,Concat,Mbox,==,>,<,>=,<=,!=,+,-,int,float,string,vent,textBox,label,boton,^,*,/,$,programa',programa,estructura,def,def-func,def-vent,def-ctrl,crea-control,def-evnt,def-main,secuencia-sent,sentencia,sent-if,sent-repeat,sent-assign,sent-while,sent-switch,secuencia-case,sentencia-case,sentencia-default,sent-for,sent-func,sent-declara,identificadores,exp,op-comparacion,exp-simple,opsuma,tipo,term,potencia,opmult,factor,const,variable
 , , , , , , , , , , , , ,s5, , , , , , , , , , , , , , , , , , , , , , , , , , , ,s9,s10,s11,s12,s13,s14,s15, , , , , ,1,2,4,7, , , , ,3, , , , , , , , , , , , ,6, , , , , ,8, , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,acc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , ,s5, , , , , , , , , , , , , , , , , , , , , , , , , , , ,s9,s10,s11,s12,s13,s14,s15, , , , , , , ,17,7, , , , ,16, , , , , , , , , , , , ,6, , , , , ,8, , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
s18, , , , , , , , , , , , ,r4, , , , , , , , , , , , , , , , , , , , , , , , , , , ,r4,r4,r4,r4,r4,r4,r4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,s19, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
r5, , , , , , , , , , , , ,r5, , , , , , , , , , , , , , , , , , , , , , , , , , , ,r5,r5,r5,r5,r5,r5,r5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
r6, , , , , , , , , , , , ,r6, , , , , , , , , , , , , , , , , , , , , , , , , , , ,r6,r6,r6,r6,r6,r6,r6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
s21, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,20, , , , , , , , , , , 
r61, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
r62, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
r63, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
r64, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
